## Byla určena nejprospěšnější ryba pro zdraví na světě	Mon Feb 04 04:09:00 CET 2019
## Skupina cizinců pobodala českého chlapce. Zasadili mu celkem osm ran nožem	Mon Feb 04 12:52:00 CET 2019
## V USA letadlo rozmetalo obytný dům. Video z místa katastrofy	Mon Feb 04 11:47:00 CET 2019
## Nevídaný krok. Itálie sníží o pět let věk odchodu do důchodu!	Fri Feb 01 19:47:00 CET 2019
## Německá média zkritizovala Rusko za oslavování hrdinů blokády Leningradu	Mon Jan 28 05:52:00 CET 2019
## Maduro šokuje: Trump rozkázal kolumbijské vládě, aby mě zavraždila, chtějí ukrást naší ropu!	Wed Jan 30 10:54:00 CET 2019
## „Já mám sako a já fajn hidžáb!“ Dětský vánoční program na ČT naštval některé rodiče	Wed Jan 02 07:40:00 CET 2019
## Ruské námořnictvo obdrželo systémy, které oslepí nepřítele a způsobí halucinace	Sat Feb 02 10:59:00 CET 2019
## Nitrožilní vitamín C pro léčbu rakoviny: levný, efektivní a bezpečný	Thu Jan 03 15:19:00 CET 2019
## Šokující příběh Dálnice smrti. Za jednu noc Američané rozbombardovali tisíce neozbrojených lidí	Thu Jan 03 10:33:00 CET 2019
## Ukázky bojové odbojové činnosti Banderovců. Politický analytik varoval před vymýváním mozků	Fri Jan 04 07:31:00 CET 2019
## Křesťanský lékař v Británii vyhozen za poukázání, že pohlaví je biologické	Wed Jul 11 06:07:00 CEST 2018
## Americký miliardář uvedl termín nové hospodářské krize	Sat Sep 22 14:38:00 CEST 2018
## Otázka života a smrti: 15 tisíc bílých jihoafrických farmářů hledá útočiště v Rusku	Tue Jul 10 16:12:00 CEST 2018
## V Bruselu už počtvrté „veletrh“ dětí pro gaye. Obchod vynáší, minimální cena za novorozence vzrostla	Mon Sep 24 08:04:00 CEST 2018
## Putin: Rusko pozastavuje účast v dohodě o INF	Sat Feb 02 08:38:00 CET 2019
## Nechutný národ? Výrok tenistky Martincové o Rusech rozdělil český internetový národ	Sat Feb 02 09:01:00 CET 2019
## Exkluzivní materiál italské novinářky je údajně důkazem o špehování zavražděného Kuciaka	Sat Feb 02 15:03:00 CET 2019
## Něco tam venku je. Nemusí to však být devátá planeta sluneční soustavy	Sat Feb 02 17:25:00 CET 2019
## Bylo zveřejněno video z místa, kde byla objevena „ztracená flotila Hitlera“	Sun Feb 03 05:02:00 CET 2019
## Západní tisk je zděšen: Americká stíhačka F-35 má vážné problémy	Sun Feb 03 07:22:00 CET 2019
## Filip: Ukrajina je na hranici katastrofy. Jak se to projeví na ČR? Seznam je působivý	Fri Feb 01 10:08:00 CET 2019
## Guaidó označil změnu vlády ve Venezuele za prospěšnou pro Rusko. Přišla okamžitá reakce Kremlu	Fri Feb 01 14:04:00 CET 2019
## USA oficiálně pozastavují platnost INF	Fri Feb 01 15:23:00 CET 2019
## Okamuru rozzuřily Hamáčkovy výroky o islámu: Prosazují konec svobody a suverenity Česka	Sun Jan 20 16:36:00 CET 2019
## „To raději Asiata než Čecha!“ Cizinky zaútočily na Čechy. A co řekli o Češkách cizinci?	Sun Jan 20 20:00:00 CET 2019
## Ostraváci, pozor na smog! V českém městě a jeho okolí byl vyhlášen vysoký stupeň nebezpečí	Mon Jan 21 08:00:00 CET 2019
## BIS: Nesprávně nás pochopili, nechtěli jsme přepisovat dějepis	Mon Jan 21 19:14:00 CET 2019
## Chcete změnit svůj život? Přijďte si pro odpovědi na seminář Mysl úspěšných	Tue Jan 22 17:01:00 CET 2019
## Václav Klaus mladší zveřejnil rozhovor s redaktorem Seznam TV a strhla se bouře	Tue Jan 22 18:30:00 CET 2019
## Své neopouštíme. Záchrana ruských letců sestřelených nad územím nepřítele	Thu Jan 31 08:35:00 CET 2019
## Maso nemocných polských krav se dostalo i do slovenských škol a restaurací	Thu Jan 31 11:29:00 CET 2019
## Guaido byl odhalen jako zednář. Evropský parlament jej mezitím uznal za „legitimní“ hlavu Venezuely	Thu Jan 31 13:44:00 CET 2019
## Salvini poslal vzkaz opozici, která se přišla podívat na polonahé tancující muže na hudbu ze svých mobilů	Thu Jan 31 09:38:00 CET 2019
## Američtí politici chtějí zabránit jadernému útoku: Je to hrozivé, jakou pravomoc má prezident	Wed Jan 30 14:54:00 CET 2019
## „Blbý a blbější v přímém přenosu”? Matovič chtěl bránit Nicholsonovou, ale zvrtlo se to	Wed Jan 30 19:54:00 CET 2019
## Venezuelská opozice ví o vojenských variantách USA	Thu Jan 31 06:21:00 CET 2019
## Žena provedla test, jaký ženský zevnějšek se mužům líbí nejvíce	Thu Jan 31 07:28:00 CET 2019
## Slovenky si vzaly Egypťana a Pákistánce a doplatily na to	Thu Jan 31 14:58:00 CET 2019
## Ukrajinský ministr k narozeninám dostal dort ve formě trosek Kremlu	Thu Jan 31 15:15:00 CET 2019
## Váš příspěvek porušuje právo šaría, vzkázal známé aktivistce... Twitter. Její odpověď byla dost drsná	Thu Jan 31 17:16:00 CET 2019
## Oficiálně zveřejněný plán NASA na zničení lidstva. Tento dokument by měl vidět každý, uvedla Deborah Tavares	Thu Jan 31 18:03:00 CET 2019
## Trump oznámil podmínku, na základě které Spojené státy stáhnou jednotky z Afghánistánu	Thu Jan 31 20:59:00 CET 2019
## „Stále lžete“: ukázalo se, že nová univerzální zbraň proti Rusku je vadná	Mon Jan 28 16:35:00 CET 2019
## Maso z Polska? Skandální zjištění, vyrábělo se i z těžce nemocných zvířat	Mon Jan 28 08:02:00 CET 2019
## Záběry rozlomení ruského bombardéru při přistání byly zveřejněny, tři lidé nepřežili	Mon Jan 28 14:06:00 CET 2019
## USA vyslaly do Sýrie 600 vojáků	Mon Jan 28 12:44:00 CET 2019
## Ruská Su-27 vzlétla do vzduchu, aby zachytila průzkumné letadlo amerického letectva	Mon Jan 28 14:12:00 CET 2019
## Spojené státy vyvíjejí „superdělo“. Může porušovat smlouvu INF?	Tue Jan 29 05:24:00 CET 2019
## USA hodlají zablokovat majetek Madura, aby jej předaly opozici	Tue Jan 29 07:50:00 CET 2019
## Copak jsou nebezpeční? Německá neziskovka se obrátila na Evropský soud pro lidská práva kvůli migrantům	Tue Jan 29 11:43:00 CET 2019
## Evropa a česká otázka	Fri Dec 16 23:45:00 CET 2011
## Potřebujeme peníze a centrální banky?	Fri Jan 06 16:50:00 CET 2012
## 40 šéfů IS uteklo s pomocí USA z vězení Tálibánu v Afghánistánu, uvedla íránská agentura	Sun Jan 27 08:35:00 CET 2019
## Trump uvedl, že je v USA nejméně 25 milionů nelegálních migrantů	Mon Jan 28 07:59:00 CET 2019
## USA vážně chtějí stáhnout vojska z Afghánistánu, chystají se první kroky	Sun Jan 27 13:33:00 CET 2019
## Děsivé záběry. Smršť v Turecku převrátila autobus s turisty a posouvala letadla	Sun Jan 27 18:03:00 CET 2019
## Osmiletá klavíristka překvapila svými odpověďmi Jana Krause a dobyla internet	Sun Jan 27 20:36:00 CET 2019
## „Nějaká cigánečka si na mě nebude dovolovat!“ Danko se vyjádřil k poslankyni	Sun Jan 27 21:50:00 CET 2019
## Do syrského Dajr az-Zauru se vrátilo po osvobození od IS téměř 1,2 milionu lidí	Sun Jan 27 11:52:00 CET 2019
## Bolton pohrozil „významnou reakcí“ na hrozby a násilí proti venezuelské opozici	Mon Jan 28 06:56:00 CET 2019
